time_start_sec,draw_time_avg,janky_frames,missed_vsync_count,slow_ui_thread_count,slow_bitmap_uploads_count,slow_issue_draw_commands_count,draw_time_avg_ma,janky_frames_ma
1370,41.129555,9,4,8,7,1,62.08199871428571,2.7142857142857144
1400,33.916073,2,0,2,2,0,64.43168928571428,2.7142857142857144
1430,25.50932,2,0,1,1,1,47.33512928571428,3.0
1460,61.978302,0,0,0,0,0,40.637722428571415,3.0
1520,183.22884,2,1,2,1,2,60.61410528571428,2.857142857142857
1550,66.93585,4,2,4,3,1,64.48760642857141,3.4285714285714284
1580,64.98846,1,0,1,0,1,68.24091428571428,2.857142857142857
1610,87.284164,1,1,1,0,1,74.83442985714285,1.7142857142857142
1640,160.00528,1,1,1,0,1,92.84717371428572,1.5714285714285714
1670,77.02947,1,0,0,0,1,100.20719514285715,1.4285714285714286
1700,31.857231,0,0,0,0,0,95.904185,1.4285714285714286
1730,33.291832,2,0,2,2,1,74.48461242857142,1.4285714285714286
1760,37.864014,2,1,2,1,1,70.331493,1.1428571428571428
1790,50.55608,4,1,3,1,2,68.26972442857142,1.5714285714285714
1820,45.56794,1,0,0,0,0,62.31026385714285,1.5714285714285714
1850,41.634163,1,1,1,0,1,45.40010428571428,1.5714285714285714
1880,36.956757,2,0,1,1,1,39.675430999999996,1.7142857142857142
1910,125.46336,2,1,1,0,1,53.04773514285713,2.0
1940,47.95649,5,2,3,1,3,55.14268628571428,2.4285714285714284
1970,35.280376,2,0,2,1,1,54.77359514285713,2.4285714285714284
2000,77.46448,1,0,0,0,0,58.61765228571427,2.0
2030,149.32722,2,0,2,1,0,73.44040657142857,2.142857142857143
2060,52.670986,3,2,2,0,2,75.01709557142856,2.4285714285714284
2090,42.455505,5,3,4,4,2,75.80263099999999,2.857142857142857
2120,33.62548,1,0,1,0,0,62.68293385714286,2.7142857142857144
2150,50.709892,0,0,0,0,0,63.07627699999999,2.0
2180,34.8766,0,0,0,0,0,63.018594714285705,1.7142857142857142
2210,120.36835,3,1,2,2,1,69.147719,2.0
2240,40.77723,0,0,0,0,0,53.64057757142856,1.7142857142857142
2270,104.55792,0,0,0,0,0,61.05299671428571,1.2857142857142858
2300,32.83658,4,2,3,2,2,59.67886457142856,1.1428571428571428
2330,37.342045,0,0,0,0,0,60.20980242857142,1.0
2360,86.51806,1,0,1,0,0,65.325255,1.1428571428571428
2390,29.178925,5,2,4,3,1,64.51130142857143,1.8571428571428572
2420,49.156597,0,0,0,0,0,54.338193857142855,1.4285714285714286
2450,53.78446,1,1,1,0,1,56.196369571428555,1.5714285714285714
2480,58.233784,5,2,4,3,3,49.57863585714285,2.2857142857142856
2510,55.46272,0,0,0,0,0,52.81094157142856,1.7142857142857142
2540,44.556355,0,0,0,0,0,53.84155728571427,1.7142857142857142
2570,52.844734,4,1,2,2,1,49.03108214285714,2.142857142857143
2600,31.902645,1,0,0,0,0,49.420185,1.5714285714285714
